"vdid","datacollecttime","status","vsrid","vsrdir","speed","laneoccupy","carid","volume"
"65000V005740","2016/08/12 16:44:00","3","1","0","-99","-99","L","-99"
"65000V005740","2016/08/12 16:44:00","3","1","0","-99","-99","S","-99"
"65000V005740","2016/08/12 16:44:00","3","2","0","-99","-99","L","-99"
"65000V005740","2016/08/12 16:44:00","3","2","0","-99","-99","S","-99"
"65000V005740","2016/08/12 16:44:00","3","0","0","-99","-99","L","-99"
"65000V005740","2016/08/12 16:44:00","3","0","0","-99","-99","S","-99"
"65000V005740","2016/08/12 16:44:00","3","4","1","-99","-99","L","-99"
"65000V005740","2016/08/12 16:44:00","3","4","1","-99","-99","S","-99"
"65000V005740","2016/08/12 16:44:00","3","5","1","-99","-99","L","-99"
"65000V005740","2016/08/12 16:44:00","3","5","1","-99","-99","S","-99"
"65000V005740","2016/08/12 16:44:00","3","3","1","-99","-99","L","-99"
"65000V005740","2016/08/12 16:44:00","3","3","1","-99","-99","S","-99"
"65000V006200","2016/08/12 16:44:00","0","0","0","53","11","L","1"
"65000V006200","2016/08/12 16:44:00","0","0","0","53","11","S","22"
"65000V006200","2016/08/12 16:44:00","0","2","0","54","11","L","3"
"65000V006200","2016/08/12 16:44:00","0","2","0","54","11","S","15"
"65000V006200","2016/08/12 16:44:00","0","1","0","46","15","L","3"
"65000V006200","2016/08/12 16:44:00","0","1","0","46","15","S","16"
"65000V008130","2016/08/12 16:44:00","3","1","0","-99","-99","L","-99"
"65000V008130","2016/08/12 16:44:00","3","1","0","-99","-99","S","-99"
"65000V008130","2016/08/12 16:44:00","3","0","0","-99","-99","L","-99"
"65000V008130","2016/08/12 16:44:00","3","0","0","-99","-99","S","-99"
"65000V008130","2016/08/12 16:44:00","3","3","1","-99","-99","L","-99"
"65000V008130","2016/08/12 16:44:00","3","3","1","-99","-99","S","-99"
"65000V008130","2016/08/12 16:44:00","3","2","1","-99","-99","L","-99"
"65000V008130","2016/08/12 16:44:00","3","2","1","-99","-99","S","-99"
"65000V008940","2016/08/12 16:44:00","0","0","0","0","0","L","0"
"65000V008940","2016/08/12 16:44:00","0","0","0","0","0","S","0"
"65000V008940","2016/08/12 16:44:00","0","1","0","66","2","L","4"
"65000V008940","2016/08/12 16:44:00","0","1","0","66","2","S","4"
"65000V008940","2016/08/12 16:44:00","0","2","0","65","3","L","4"
"65000V008940","2016/08/12 16:44:00","0","2","0","65","3","S","5"
"65000V008940","2016/08/12 16:44:00","0","5","1","54","2","L","4"
"65000V008940","2016/08/12 16:44:00","0","5","1","54","2","S","0"
"65000V008940","2016/08/12 16:44:00","0","3","1","68","2","L","2"
"65000V008940","2016/08/12 16:44:00","0","3","1","68","2","S","5"
"65000V008940","2016/08/12 16:44:00","0","4","1","63","4","L","2"
"65000V008940","2016/08/12 16:44:00","0","4","1","63","4","S","6"
"65000V009560","2016/08/12 16:44:00","0","0","0","70","0","L","0"
"65000V009560","2016/08/12 16:44:00","0","0","0","70","0","S","1"
"65000V009560","2016/08/12 16:44:00","0","1","0","69","1","L","0"
"65000V009560","2016/08/12 16:44:00","0","1","0","69","1","S","5"
"65000V009560","2016/08/12 16:44:00","0","3","1","0","0","L","0"
"65000V009560","2016/08/12 16:44:00","0","3","1","0","0","S","0"
"65000V009560","2016/08/12 16:44:00","0","2","1","75","0","L","0"
"65000V009560","2016/08/12 16:44:00","0","2","1","75","0","S","1"
"65000V009850","2016/08/12 16:44:00","3","0","0","-99","-99","L","-99"
"65000V009850","2016/08/12 16:44:00","3","0","0","-99","-99","S","-99"
"65000V009850","2016/08/12 16:44:00","3","1","0","-99","-99","L","-99"
"65000V009850","2016/08/12 16:44:00","3","1","0","-99","-99","S","-99"
"65000V010000","2016/08/12 16:44:00","3","0","0","-99","-99","L","-99"
"65000V010000","2016/08/12 16:44:00","3","0","0","-99","-99","S","-99"
